date,phc_id,state,medicine_name,weather_condition,temperature_c,local_festival,patient_footfall,daily_consumption_rate,stock_on_hand,predicted_days_to_stockout,critical_deficit_flag,nearest_hub_surplus,hub_distance_km
2023-01-01,PHC_002,Karnataka,Snake Venom Antiserum,Clear,44.9,None,82,23,446,19.4,0,224,57.6
2023-01-01,PHC_002,Karnataka,Amoxicillin 500mg (Antibiotic),Clear,44.3,None,96,18,165,9.2,0,822,33.2
2023-01-01,PHC_003,Uttar Pradesh,Amoxicillin 500mg (Antibiotic),Heatwave,36.2,Diwali,162,24,498,20.8,0,471,19.9
2023-01-01,PHC_003,Uttar Pradesh,ORS Packets,Clear,37.5,Holi,145,36,71,2.0,1,680,23.6
2023-01-01,PHC_004,Karnataka,Amoxicillin 500mg (Antibiotic),Heatwave,38.5,Holi,104,31,323,10.4,0,486,58.0
2023-01-01,PHC_004,Karnataka,Snake Venom Antiserum,Heatwave,26.7,None,40,10,182,18.2,0,754,55.1
2023-01-01,PHC_010,Tamil Nadu,Oxytocin 10 IU (Maternal),Monsoon/Heavy Rain,39.8,Kumbh Mela,162,55,63,1.1,1,36,17.1
2023-01-01,PHC_011,Uttar Pradesh,Snake Venom Antiserum,Clear,25.2,Kumbh Mela,100,37,283,7.6,0,741,71.3
2023-01-01,PHC_011,Uttar Pradesh,Oxytocin 10 IU (Maternal),High Humidity,39.7,Local Fair,156,43,136,3.2,1,398,35.1
2023-01-01,PHC_013,Bihar,Oxytocin 10 IU (Maternal),Clear,42.7,Holi,126,50,135,2.7,1,547,19.2
2023-01-01,PHC_015,Uttar Pradesh,ORS Packets,Monsoon/Heavy Rain,38.1,None,190,75,246,3.3,1,909,44.4
2023-01-01,PHC_016,Bihar,ORS Packets,Heatwave,35.1,Holi,162,36,285,7.9,0,627,51.7
2023-01-01,PHC_021,Bihar,Paracetamol 500mg (Antipyretic),Heatwave,34.6,Diwali,147,50,147,2.9,1,415,14.4
2023-01-01,PHC_021,Bihar,ORS Packets,Clear,28.0,Diwali,65,7,305,43.6,0,413,53.4
2023-01-01,PHC_021,Bihar,Oxytocin 10 IU (Maternal),Clear,28.7,Local Fair,99,28,239,8.5,0,664,51.5
2023-01-01,PHC_023,Rajasthan,Rabies Immunoglobulin (ARV),Monsoon/Heavy Rain,38.0,Diwali,181,70,441,6.3,0,720,25.5
2023-01-01,PHC_023,Rajasthan,Paracetamol 500mg (Antipyretic),Heatwave,38.0,None,131,51,201,3.9,1,768,46.9
2023-01-01,PHC_023,Rajasthan,ORS Packets,High Humidity,25.0,Diwali,147,40,461,11.5,0,531,51.4
2023-01-01,PHC_024,Maharashtra,Amoxicillin 500mg (Antibiotic),Heatwave,31.3,Diwali,166,35,120,3.4,1,933,13.5
2023-01-01,PHC_024,Maharashtra,Rabies Immunoglobulin (ARV),Monsoon/Heavy Rain,44.9,Local Fair,118,19,381,20.1,0,585,42.3
2023-01-01,PHC_024,Maharashtra,Paracetamol 500mg (Antipyretic),Heatwave,39.7,None,101,21,125,6.0,0,812,52.7
2023-01-01,PHC_025,Gujarat,Paracetamol 500mg (Antipyretic),Monsoon/Heavy Rain,44.2,Holi,217,76,358,4.7,1,770,73.0
2023-01-01,PHC_026,Karnataka,Oxytocin 10 IU (Maternal),Monsoon/Heavy Rain,26.9,Local Fair,140,33,41,1.2,1,126,75.8
2023-01-01,PHC_026,Karnataka,Snake Venom Antiserum,High Humidity,32.8,Holi,152,19,33,1.7,1,834,25.9
2023-01-01,PHC_028,Gujarat,Oxytocin 10 IU (Maternal),Monsoon/Heavy Rain,29.5,None,145,29,191,6.6,0,314,55.8
2023-01-01,PHC_030,Uttar Pradesh,ORS Packets,Clear,29.7,Diwali,91,22,167,7.6,0,247,44.5
2023-01-01,PHC_031,Bihar,Amoxicillin 500mg (Antibiotic),Clear,31.8,Local Fair,147,45,270,6.0,0,958,43.1
2023-01-01,PHC_031,Bihar,Oxytocin 10 IU (Maternal),Clear,31.5,Holi,70,7,264,37.7,0,249,72.4
2023-01-01,PHC_032,Rajasthan,Ceftriaxone 1g (Antibiotic),Heatwave,26.2,Kumbh Mela,131,22,293,13.3,0,30,51.2
